IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;CIRCUITOS ELECTRICOS;COMPUTACION I;COMPUTACION II;CALCULO I;CALCULO II;CALCULO III;CALCULO IV;CALCULO V;CALCULO VI;DISENO ASISTIDO POR COMPUTADORA I;DISENO ASISTIDO POR COMPUTADORA II;DISENO TECNICO;ESTRUCTURAS I;ESTRUCTURAS II;ESTRUCTURAS III;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES II;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FISICA I;FISICA II;FISICA III;FISICA IV;FISICA V;FISICA VI;GEOMETRIA ANALITICA;GEOTECNIA I;GEOTECNIA II;HIDRAULICA I;HIDRAULICA II;HORMIGON ARMADO I;IDIOMAS  I;INGLES I;INGLES II;INGLES III;LABORATORIO DE IDIOMAS I;MATERIALES DE OBRAS CIVILES;MECANICA DE MATERIALES I;MECANICA DE MATERIALES II;MECANICA VECTORIAL I;MECANICA VECTORIAL II;METODOLOGIA DE LA INVESTIGACION I;METODOLOGIA DE LA INVESTIGACION II;PROBABILIDAD Y ESTADISTICA;QUIMICA;TECNOLOGIA DEL HORMIGON;TOPOGRAFIA;VIAS DE COMUNICACION I;VIAS DE COMUNICACION II;ALGEBRA LINEAL I;ALGEBRA LINEAL II;ETICA PROFESIONAL
5892;3.0;1;0.0;4;7;1;2.0;3.088888888888889;4.0;3.0;4.0;2.0;2.0;2.0;3.0;2.0;0.0;0.0;4.0;2.0;4.0;3.0;0.0;0.0;5.0;4.0;5.0;5.0;5.0;5.0;3.0;3.0;3.0;3.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;3.0;2.0;4.0;2.0;0.0;0.0;2.0;3.0;5.0;4.0;2.0;3.0;2.0;2.0;2.0;4.0;2.0;3.0;3.0
5893;2.0;1;0.0;4;5;3;5.0;3.4918032786885247;4.0;3.0;4.0;4.0;4.0;3.0;2.0;3.0;4.0;4.0;4.0;5.0;5.0;4.0;5.0;3.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;2.0;5.0;5.0;3.0;5.0;4.0;3.0;3.0;3.0;3.0;2.0;2.0;4.0;4.0;4.0;4.0;3.0;4.0;2.0;3.0;3.0;4.0;5.0;4.0;2.0;4.0;3.0;4.0;2.0;2.0;3.0;4.0;5.0
5894;2.0;1;0.0;4;6;0;4.0;3.3833333333333333;3.0;4.0;3.0;4.0;3.0;2.0;2.0;3.0;5.0;4.0;4.0;5.0;5.0;3.0;4.0;3.0;5.0;4.0;5.0;5.0;5.0;5.0;4.0;2.0;5.0;4.0;4.0;4.0;4.0;3.0;2.0;2.0;3.0;5.0;3.0;4.0;4.0;3.0;4.0;4.0;3.0;2.0;2.0;3.0;3.0;5.0;4.0;2.0;4.0;3.0;2.0;2.0;2.0;3.0;4.0;5.0
5897;3.0;2;0.0;2;2;0;5.0;3.0434782608695654;4.0;3.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;3.0;0.0;0.0;0.0;5.0;4.0;4.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;5.0;3.0;0.0;3.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0
5899;3.0;2;0.0;3;5;0;9.0;3.0444444444444443;3.0;4.0;4.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;0.0;0.0;0.0;5.0;4.0;4.0;5.0;5.0;5.0;5.0;3.0;3.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0;3.0;3.0;4.0;4.0;3.0;0.0;0.0;2.0;0.0;5.0;5.0;3.0;4.0;3.0;2.0;3.0;0.0;2.0;2.0;5.0
5900;2.0;1;0.0;4;1;0;2.0;3.6206896551724137;4.0;4.0;4.0;5.0;2.0;3.0;2.0;3.0;5.0;5.0;4.0;4.0;4.0;3.0;5.0;3.0;5.0;4.0;4.0;5.0;5.0;5.0;5.0;2.0;3.0;5.0;3.0;4.0;5.0;3.0;3.0;3.0;3.0;3.0;4.0;5.0;4.0;3.0;5.0;4.0;3.0;2.0;2.0;2.0;3.0;5.0;4.0;3.0;4.0;3.0;4.0;3.0;4.0;3.0;3.0;5.0
5901;2.0;1;0.0;3;2;0;2.0;3.896551724137931;4.0;5.0;4.0;4.0;3.0;3.0;2.0;3.0;5.0;5.0;5.0;5.0;5.0;3.0;4.0;4.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;2.0;5.0;3.0;4.0;5.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;5.0;4.0;5.0;5.0;3.0;3.0;3.0;5.0;4.0;5.0;5.0;3.0;4.0;3.0;5.0;4.0;3.0;3.0;4.0;5.0
5903;2.0;2;0.0;5;8;0;6.0;3.306451612903226;3.0;4.0;2.0;4.0;2.0;2.0;3.0;2.0;4.0;4.0;4.0;4.0;5.0;3.0;4.0;3.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;4.0;4.0;4.0;4.0;2.0;4.0;3.0;2.0;3.0;4.0;4.0;5.0;3.0;4.0;4.0;4.0;2.0;3.0;2.0;2.0;5.0;5.0;3.0;4.0;4.0;5.0;2.0;3.0;2.0;3.0;5.0
5905;2.0;1;0.0;3;4;3;2.0;3.4482758620689653;4.0;4.0;4.0;5.0;2.0;4.0;3.0;3.0;4.0;5.0;5.0;4.0;5.0;3.0;3.0;2.0;5.0;5.0;5.0;5.0;4.0;5.0;4.0;2.0;4.0;3.0;4.0;4.0;4.0;3.0;2.0;2.0;2.0;2.0;2.0;4.0;4.0;4.0;3.0;4.0;4.0;2.0;3.0;2.0;2.0;3.0;4.0;3.0;4.0;3.0;4.0;3.0;2.0;4.0;4.0;5.0
5906;3.0;1;0.0;1;0;0;4.0;2.8333333333333335;3.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;3.0;0.0;0.0;0.0;5.0;5.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
